Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Total Claim Amount,Policy Type,Vehicle Class,State,Gender
YI89801,,,High School or Below,2570.235172,49304,65,0,312.0,Corporate Auto,Four-Door Car,California,F
KB53430,,,High School or Below,2227.072755,27972,61,0,292.8,Personal Auto,Four-Door Car,Oregon,M
KB50999,,,College,5394.000979,27568,68,0,278.689331,Personal Auto,Two-Door Car,California,F
JO17193,,,Bachelor,2300.691547,25905,63,0,302.4,Personal Auto,Four-Door Car,Washington,M
BO42776,,,Bachelor,25360.10404,21442,108,0,518.4,Corporate Auto,SUV,Washington,M
OZ19432,,,High School or Below,4374.038985,34516,113,3,42.950852,Special Auto,Four-Door Car,Nevada,F
VT34834,,,High School or Below,4953.358432,0,68,0,342.468248,Personal Auto,Four-Door Car,Nevada,M
MI65698,,,College,4590.811214,28354,118,0,320.327775,Personal Auto,Two-Door Car,Oregon,F
IG85969,,,College,5062.37379,0,72,0,345.6,Personal Auto,Two-Door Car,Arizona,F
SE72928,,,Master,9075.768214,37722,116,0,158.077504,Personal Auto,Sports Car,California,M
QV47358,,,Bachelor,8133.157212,32021,70,0,336.0,Personal Auto,Four-Door Car,Arizona,F
HR50405,,,Bachelor,2869.301319,13393,73,0,34.708194,Personal Auto,Four-Door Car,Oregon,F
MN53151,,,College,27937.75093,13624,117,0,561.6,Personal Auto,Sports Car,Oregon,M
VD64777,,,College,2606.186321,27800,67,0,321.6,Personal Auto,Two-Door Car,Nevada,F
EG21289,,,College,7764.273102,58419,191,0,202.468807,Personal Auto,Luxury Car,California,F
YI85251,,,High School or Below,18380.39026,50407,92,0,352.060768,Personal Auto,Four-Door Car,Nevada,M
RD61361,,,Bachelor,6102.953572,0,84,0,856.347474,Personal Auto,Four-Door Car,Arizona,F
PG26401,,,High School or Below,9191.672825,77603,114,0,547.2,Personal Auto,SUV,Washington,M
NV91476,,,College,9581.281433,75606,119,0,571.2,Personal Auto,Four-Door Car,California,F
SJ16410,,,Bachelor,7532.262392,41458,98,0,191.100227,Personal Auto,Four-Door Car,Arizona,M
BI17208,,,College,2795.321353,0,74,0,420.765993,Personal Auto,Two-Door Car,Oregon,M
WR70403,,,High School or Below,5673.840992,0,82,0,445.001296,Personal Auto,Two-Door Car,Washington,M
ZZ22858,,,Bachelor,15016.18511,70619,187,0,293.948632,Personal Auto,Luxury Car,Arizona,F
EZ75048,,,Doctor,3087.249746,41273,77,0,221.226696,Personal Auto,Four-Door Car,California,M
CN31328,,,College,5480.701059,46946,70,0,336.0,Personal Auto,Four-Door Car,Arizona,F
ZP91150,,,College,7944.973807,0,113,0,542.4,Corporate Auto,Four-Door Car,Oregon,M
LC77957,,,Bachelor,8543.247323,99180,106,0,33.751887,Personal Auto,SUV,Oregon,M
PT34656,,,College,5380.898636,55350,67,0,321.6,Personal Auto,Four-Door Car,California,F
MI99404,,,College,4650.063763,28215,65,0,468.0,Personal Auto,Two-Door Car,California,M
AI58313,,,College,36946.06393,75425,116,1,663.643801,Personal Auto,Sports Car,Nevada,F
VA60020,,,High School or Below,3314.55133,63583,83,0,167.39959,Special Auto,Four-Door Car,Nevada,F
TW53467,,,Bachelor,4566.377261,0,66,0,475.2,Personal Auto,Four-Door Car,California,M
IC11062,,,High School or Below,5597.12496,37995,139,0,667.2,Personal Auto,SUV,Nevada,F
OO11531,,,Master,2540.551456,37125,63,0,290.911693,Personal Auto,Four-Door Car,Nevada,F
JV80614,,,College,2939.330187,53357,73,0,55.320014,Personal Auto,Four-Door Car,California,M
IC70693,,,Bachelor,16068.34838,70140,199,0,955.2,Corporate Auto,Luxury Car,California,F
JY45326,,,College,7360.873696,52380,186,2,892.8,Personal Auto,Luxury SUV,Oregon,M
QW17940,,,High School or Below,2700.985899,79292,67,0,55.394702,Corporate Auto,Four-Door Car,California,M
AV25133,,,College,3095.705571,0,92,1,774.892461,Personal Auto,Two-Door Car,Oregon,F
QJ57215,,,College,4383.751482,0,123,0,1480.336748,Personal Auto,SUV,Nevada,F
IG94072,,,High School or Below,9928.874825,75425,123,0,823.798803,Personal Auto,Sports Car,Oregon,F
WC28543,,,Bachelor,2399.17815,20992,64,0,307.2,Personal Auto,Two-Door Car,Arizona,M
DH13219,,,Bachelor,3402.777293,57428,85,1,414.649796,Corporate Auto,Four-Door Car,Washington,M
ET80689,,,College,8711.302422,92606,109,0,287.437831,Special Auto,SUV,California,M
JD10245,,,High School or Below,4358.762008,86001,109,1,523.2,Personal Auto,SUV,California,M
XO96556,,,Master,2551.226692,79751,63,0,392.235698,Personal Auto,Two-Door Car,Arizona,M
UJ61336,,,Bachelor,5642.747998,68654,71,2,208.048487,Personal Auto,Four-Door Car,Arizona,F
XS94482,,,Master,4151.667368,0,61,3,208.892861,Personal Auto,Two-Door Car,Arizona,F
QX57337,,,Doctor,2842.025913,92629,72,3,60.845685,Personal Auto,Four-Door Car,Oregon,F
CZ35936,,,High School or Below,8791.444942,54094,112,0,502.994931,Corporate Auto,SUV,California,F
IM41800,,,College,8268.272933,95419,70,3,336.0,Personal Auto,Four-Door Car,Nevada,M
GI70742,,,High School or Below,8581.637267,66466,71,0,293.016168,Personal Auto,Four-Door Car,Oregon,F
HQ32112,,,High School or Below,5244.40475,68131,130,0,226.607648,Personal Auto,SUV,Arizona,M
CC85895,,,Bachelor,8509.019846,56481,106,0,273.250112,Personal Auto,SUV,Nevada,F
CF40646,,,College,4743.615503,70082,119,0,571.2,Personal Auto,SUV,California,M
RF39856,,,Bachelor,22754.66137,51437,115,0,244.086665,Corporate Auto,SUV,Nevada,M
VT85216,,,High School or Below,5335.015944,0,73,0,525.6,Personal Auto,Four-Door Car,Nevada,M
SW69117,,,College,6966.319103,27972,90,0,240.318607,Corporate Auto,Two-Door Car,Oregon,M
EI58852,,,High School or Below,21205.37785,24930,76,0,364.8,Personal Auto,Four-Door Car,Arizona,F
FN61865,,,Master,4271.200049,26245,110,0,44.284642,Personal Auto,Two-Door Car,Nevada,F
LI11560,,,Bachelor,5580.818466,57883,69,0,431.847824,Personal Auto,Four-Door Car,California,F
NY12562,,,College,2224.089639,0,64,0,483.25721,Corporate Auto,Four-Door Car,Nevada,F
GE46404,,,College,2709.539796,58828,68,0,446.751243,Personal Auto,Four-Door Car,Oregon,F
PP26786,,,College,2890.338106,51906,73,0,374.864662,Corporate Auto,Four-Door Car,Arizona,M
BE55425,,,College,6403.577368,28095,82,0,393.6,Personal Auto,Four-Door Car,Oregon,M
SH75038,,,Bachelor,5981.381645,88723,74,0,355.2,Personal Auto,Two-Door Car,California,F
LD22387,,,High School or Below,6225.022266,53078,79,2,200.97608,Corporate Auto,Four-Door Car,California,F
FF94034,,,Bachelor,8496.358981,88895,106,0,209.863509,Personal Auto,Sports Car,California,F
YK16362,,,Bachelor,10213.99111,60078,127,0,140.819942,Corporate Auto,SUV,Arizona,F
DN10177,,,College,4547.162694,0,67,0,321.6,Personal Auto,Two-Door Car,California,M
IV35546,,,Master,5741.696078,45820,71,0,249.742856,Corporate Auto,Four-Door Car,Nevada,F
SK12432,,,Bachelor,2388.353882,0,73,0,677.970934,Personal Auto,Four-Door Car,Arizona,M
DF71709,,,College,12624.96121,12439,115,0,552.0,Corporate Auto,Two-Door Car,California,M
UT61518,,,Bachelor,8382.478392,25998,71,0,791.878042,Personal Auto,Four-Door Car,California,M
PU75847,,,College,4964.666365,98451,62,0,316.546868,Personal Auto,Four-Door Car,Arizona,M
XA47378,,,Bachelor,2871.437451,23803,72,0,410.548521,Corporate Auto,Two-Door Car,California,F
NE22677,,,College,13080.78528,0,124,0,595.2,Special Auto,SUV,California,M
HV62406,,,High School or Below,2482.411991,26100,67,0,482.4,Personal Auto,Four-Door Car,Oregon,F
VS20668,,,Bachelor,2726.834065,0,73,0,376.923839,Personal Auto,Four-Door Car,Nevada,F
YZ79232,,,Master,4776.186527,0,67,0,315.215329,Personal Auto,Four-Door Car,Oregon,M
ND87457,,,Bachelor,6091.89923,65252,78,0,482.48791,Personal Auto,Four-Door Car,Nevada,M
TY59231,,,Bachelor,5015.009472,48567,130,0,624.0,Personal Auto,SUV,California,F
DA54619,,,High School or Below,9035.671134,34337,113,0,542.4,Personal Auto,Four-Door Car,Oregon,F
OL27257,,,College,4381.880534,20394,115,0,508.614758,Personal Auto,Two-Door Car,Nevada,F
TH86528,,,High School or Below,5775.517825,0,76,0,784.611446,Personal Auto,Two-Door Car,Washington,F
DS34823,,,High School or Below,4250.282624,0,61,1,292.8,Personal Auto,Four-Door Car,Arizona,F
HB24005,,,College,2347.048112,31617,62,1,244.269407,Personal Auto,Four-Door Car,California,M
ZV96574,,,High School or Below,6940.069184,0,62,1,297.6,Corporate Auto,Four-Door Car,California,F
JC80093,,,Master,2572.506605,21104,66,0,118.454974,Personal Auto,Four-Door Car,Washington,M
KN24990,,,College,41491.74481,37748,181,2,868.8,Personal Auto,Luxury Car,Arizona,M
RR39751,,,Bachelor,3571.346578,0,96,0,438.661509,Personal Auto,Four-Door Car,California,F
BN80677,,,Bachelor,12734.21253,25023,82,0,397.139856,Corporate Auto,Two-Door Car,Oregon,M
WL74893,,,College,4529.112791,0,62,0,271.164139,Special Auto,Four-Door Car,Oregon,F
ZN59196,,,Bachelor,4177.876779,14108,109,0,523.2,Personal Auto,Four-Door Car,Oregon,F
PF77449,,,High School or Below,9824.745841,23923,82,1,393.6,Personal Auto,Four-Door Car,Washington,F
HO38996,,,High School or Below,2430.801647,0,67,0,321.6,Special Auto,Four-Door Car,Oregon,M
YU86361,,,Master,19160.98994,22705,239,0,1294.700423,Personal Auto,Luxury SUV,Washington,F
PJ13204,,,High School or Below,3301.518961,0,89,0,427.2,Corporate Auto,Two-Door Car,California,F
SP63623,,,College,4692.098956,0,69,0,506.92275,Personal Auto,Four-Door Car,Oregon,M
DP33625,,,College,8092.87696,50825,102,0,369.614729,Personal Auto,SUV,Arizona,M
BJ18904,,,College,3964.534974,14616,106,0,575.260213,Personal Auto,SUV,Arizona,M
TR26615,,,High School or Below,2497.531509,0,69,0,272.381465,Corporate Auto,Two-Door Car,Oregon,M
ZD44648,,,College,9656.212573,29504,125,0,1224.56345,Personal Auto,SUV,Arizona,M
QW60568,,,College,8888.143979,58789,111,0,215.438825,Corporate Auto,Four-Door Car,California,M
XS78545,,,College,7347.410517,29491,61,0,292.8,Personal Auto,Four-Door Car,Oregon,F
EU19773,,,High School or Below,8578.364528,78077,107,2,438.069458,Personal Auto,Four-Door Car,Arizona,F
ZL45417,,,High School or Below,3467.323976,0,96,0,799.251165,Personal Auto,Two-Door Car,California,F
JS58659,,,Bachelor,8901.468512,76558,74,0,216.980413,Special Auto,Four-Door Car,Nevada,M
XK84089,,,Bachelor,2619.337376,78618,66,0,225.578841,Personal Auto,Two-Door Car,California,M
LH91968,,,Bachelor,8838.085637,82664,114,3,133.425609,Corporate Auto,SUV,Oregon,M
NX63627,,,Doctor,10127.77087,23053,132,0,780.941649,Personal Auto,Sports Car,Oregon,M
ND62955,,,Bachelor,4633.452912,50250,117,0,561.6,Personal Auto,SUV,Nevada,M
YQ11786,,,High School or Below,7796.000083,32169,199,0,785.82348,Personal Auto,Luxury SUV,Oregon,M
TM13955,,,Master,2993.024583,0,80,0,286.115778,Corporate Auto,Four-Door Car,Washington,M
IA91291,,,College,7985.472561,99069,66,0,77.442722,Corporate Auto,Four-Door Car,Arizona,F
RO89785,,,College,3508.569533,20978,98,1,1176.2788,Personal Auto,Four-Door Car,Oregon,M
QW40898,,,College,2722.210707,17576,71,0,398.502948,Personal Auto,Four-Door Car,Arizona,F
ZD40816,,,Bachelor,2783.583044,42297,71,0,200.38673,Personal Auto,Four-Door Car,Nevada,M
PD82395,,,Bachelor,8649.997286,0,115,0,824.597262,Special Auto,Four-Door Car,Arizona,F
NW23827,,,College,4652.91278,0,63,0,151.231247,Personal Auto,Four-Door Car,California,F
GG61186,,,Doctor,8395.806331,0,110,0,161.092415,Personal Auto,Four-Door Car,Nevada,F
TB31268,,,College,8804.53711,48990,74,0,355.2,Personal Auto,Four-Door Car,Arizona,F
SX98462,,,College,7155.337765,16916,64,0,377.512951,Personal Auto,Four-Door Car,Oregon,M
OL82456,,,Bachelor,3954.344534,18375,103,0,535.080276,Personal Auto,Sports Car,Oregon,M
DN14211,,,College,15032.9003,17150,65,0,689.800891,Personal Auto,Two-Door Car,Oregon,M
ZG12619,,,Bachelor,8257.666512,23815,73,0,424.330166,Personal Auto,Four-Door Car,Washington,F
VH31071,,,College,9256.918609,21947,118,0,566.4,Personal Auto,SUV,Arizona,F
SP36555,,,Bachelor,6507.751779,0,97,0,863.219668,Personal Auto,Four-Door Car,Arizona,M
ME83611,,,Bachelor,2530.705137,89451,63,0,61.769564,Personal Auto,Four-Door Car,Nevada,F
PH85036,,,Bachelor,5482.549359,79325,68,0,251.294821,Corporate Auto,Four-Door Car,Washington,F
PE54870,,,College,4050.506193,88454,101,0,308.749796,Personal Auto,SUV,Oregon,M
DT52189,,,High School or Below,6326.679236,0,87,0,417.6,Personal Auto,Four-Door Car,California,F
XN48526,,,College,2627.76229,20943,69,0,240.00056,Personal Auto,Four-Door Car,California,F
KW52227,,,Bachelor,7814.604545,51972,66,0,316.8,Personal Auto,Four-Door Car,California,M
JC98569,,,College,6314.579645,54408,79,0,288.329793,Personal Auto,Four-Door Car,Oregon,F
BG48083,,,Bachelor,6386.278164,23751,82,1,586.921708,Personal Auto,Two-Door Car,Nevada,F
PD19551,,,Bachelor,2537.969253,37612,64,0,307.2,Personal Auto,Four-Door Car,California,F
BJ13380,,,Bachelor,5335.375586,91603,69,2,472.67262,Personal Auto,Four-Door Car,Oregon,F
HY25004,,,High School or Below,4549.079221,0,62,0,639.758314,Personal Auto,Two-Door Car,Arizona,F
WF50693,,,High School or Below,4836.21886,16450,128,0,871.484565,Corporate Auto,SUV,Oregon,M
MA45099,,,Bachelor,6478.801192,50864,83,1,158.362972,Corporate Auto,Four-Door Car,Oregon,M
ZC69696,,,College,35440.14262,74560,110,0,528.0,Personal Auto,SUV,Arizona,F
VO43359,,,High School or Below,2404.380963,62488,62,2,200.689331,Personal Auto,Four-Door Car,California,M
OM63954,,,Bachelor,9264.565015,55837,117,0,741.867506,Personal Auto,Two-Door Car,California,F
GV71044,,,College,2433.024631,0,66,0,475.2,Personal Auto,Two-Door Car,Oregon,F
TM79451,,,College,5367.089817,97742,67,0,67.648392,Personal Auto,Four-Door Car,California,F
PA84292,,,Bachelor,2452.360892,0,69,0,496.8,Personal Auto,Four-Door Car,Oregon,F
QX67584,,,High School or Below,8646.504109,64125,108,0,369.818708,Personal Auto,SUV,Nevada,F
JK90180,,,College,4340.086445,0,62,0,446.4,Personal Auto,Four-Door Car,Arizona,M
BH35482,,,Doctor,4930.949334,70412,61,0,136.291083,Corporate Auto,Two-Door Car,Washington,M
VU84949,,,Bachelor,5292.632491,0,70,0,336.0,Personal Auto,Two-Door Car,Washington,F
SF46129,,,High School or Below,8986.610653,66267,111,0,1093.708851,Personal Auto,Four-Door Car,California,M
OH35544,,,College,5619.967791,0,82,0,863.935307,Corporate Auto,Four-Door Car,Nevada,F
ZF82387,,,High School or Below,10340.45566,40882,89,0,393.637436,Corporate Auto,Two-Door Car,Oregon,M
MD40054,,,High School or Below,6369.262355,34498,83,0,398.4,Personal Auto,Two-Door Car,Oregon,M
LE96510,,,High School or Below,2767.5949,0,74,0,355.2,Personal Auto,Four-Door Car,Oregon,F
MC11907,,,High School or Below,4831.421687,23228,64,1,307.2,Corporate Auto,Four-Door Car,California,F
DA57177,,,College,4282.947971,40864,109,1,166.937747,Personal Auto,SUV,Oregon,F
SU77646,,,Master,5718.276608,46133,73,0,19.626306,Personal Auto,Four-Door Car,Oregon,M
YZ19736,,,College,2580.849899,46900,66,0,316.8,Personal Auto,Four-Door Car,Arizona,M
JZ69749,,,High School or Below,6481.382268,0,92,0,441.6,Personal Auto,Four-Door Car,Washington,F
BJ22117,,,Master,5133.414764,53390,64,0,278.999409,Personal Auto,Four-Door Car,Washington,M
UQ60825,,,College,9369.639891,99185,115,0,449.428182,Corporate Auto,SUV,California,F
ZZ89380,,,Bachelor,3196.578455,62815,80,0,47.061469,Special Auto,Two-Door Car,Oregon,F
LU87443,,,College,4720.608872,26277,61,0,292.8,Personal Auto,Four-Door Car,Oregon,F
DG33206,,,Doctor,8861.900439,41854,110,0,481.269644,Personal Auto,Four-Door Car,Washington,F
AB98823,,,College,6032.737631,0,86,0,412.8,Personal Auto,Two-Door Car,Arizona,M
MS34991,,,High School or Below,6832.36853,66627,85,0,733.21126,Personal Auto,Four-Door Car,Arizona,M
EE53627,,,High School or Below,2242.090803,12131,64,1,251.44949,Personal Auto,Four-Door Car,Oregon,M
XY39691,,,High School or Below,4157.698118,0,110,0,528.0,Personal Auto,SUV,Arizona,F
ZU96776,,,Bachelor,6189.122455,0,90,0,648.0,Personal Auto,Two-Door Car,California,M
FF84784,,,College,5643.724704,33317,72,1,345.6,Personal Auto,Two-Door Car,California,M
QT90140,,,Doctor,5332.462694,68931,66,0,309.577946,Personal Auto,Four-Door Car,Arizona,F
TO71844,,,College,2121.313061,0,67,1,321.6,Personal Auto,Four-Door Car,Oregon,M
HV69023,,,High School or Below,8281.740124,19189,108,0,518.4,Personal Auto,SUV,California,F
RE32481,,,Master,7835.929299,49390,195,0,738.05105,Personal Auto,Luxury Car,California,F
CA79988,,,College,2552.913868,33124,67,0,80.119997,Personal Auto,Four-Door Car,Oregon,M
DO48071,,,College,2795.410029,40516,70,0,137.168874,Personal Auto,Two-Door Car,California,F
MW48891,,,High School or Below,8007.399376,0,112,0,537.6,Personal Auto,Sports Car,Washington,F
JC37277,,,College,6886.324494,34615,87,0,417.6,Personal Auto,Four-Door Car,Oregon,M
YU80673,,,College,5106.781547,29894,72,4,16.510134,Personal Auto,Four-Door Car,California,F
BV69462,,,Bachelor,5612.375586,0,79,0,379.2,Corporate Auto,Two-Door Car,Oregon,F
DW86238,,,High School or Below,5658.912313,0,84,0,847.490817,Personal Auto,Four-Door Car,Washington,M
BQ51616,,,High School or Below,7263.599744,86732,180,0,204.373113,Personal Auto,Luxury SUV,Oregon,F
XX89213,,,Master,8712.157741,68516,216,0,95.693949,Corporate Auto,Luxury SUV,Nevada,F
JC96695,,,Doctor,9198.685111,31562,115,0,552.0,Personal Auto,SUV,California,M
RN55306,,,High School or Below,5162.370678,0,74,0,582.420512,Personal Auto,Four-Door Car,Oregon,F
WH36609,,,Bachelor,6289.946999,24477,79,0,379.2,Personal Auto,Four-Door Car,Arizona,F
UO43395,,,Master,3649.708655,0,100,0,480.0,Personal Auto,SUV,Oregon,M
DS32060,,,College,6766.558551,20046,87,0,417.6,Personal Auto,Two-Door Car,California,M
LK51056,,,Bachelor,4631.011293,78152,114,0,547.2,Corporate Auto,SUV,Arizona,M
PX71218,,,Bachelor,6810.52531,0,65,0,733.522405,Personal Auto,Four-Door Car,Arizona,M
NS19456,,,College,9378.634228,36067,117,0,561.6,Personal Auto,Sports Car,Oregon,F
MR60878,,,Bachelor,15762.53198,44362,66,0,142.113373,Corporate Auto,Four-Door Car,Oregon,F
MB32944,,,Master,2635.505781,77350,66,0,316.8,Personal Auto,Four-Door Car,Nevada,M
FE70473,,,College,5741.72743,86641,71,0,161.752532,Personal Auto,Two-Door Car,Oregon,F
XB64251,,,College,8414.942855,72258,105,0,12.497538,Personal Auto,SUV,Oregon,M
WI38796,,,Bachelor,9123.911266,70737,114,0,741.655597,Corporate Auto,SUV,Oregon,M
KS12294,,,Bachelor,15994.008,0,159,0,1410.16929,Personal Auto,SUV,California,M
US89453,,,College,9022.08313,0,125,0,988.535078,Personal Auto,SUV,California,M
XK39439,,,College,4759.664624,0,81,3,388.8,Personal Auto,Four-Door Car,California,M
VJ71087,,,Bachelor,3993.882994,17672,110,0,792.0,Personal Auto,SUV,Arizona,M
FM54600,,,High School or Below,18853.73945,0,173,0,1245.6,Corporate Auto,SUV,Washington,F
UV43859,,,High School or Below,8840.193762,47297,115,4,796.130111,Personal Auto,SUV,Oregon,F
JP28293,,,Doctor,6696.903521,57240,83,0,83.652384,Corporate Auto,Four-Door Car,California,F
UV48189,,,Bachelor,8476.082867,28181,109,0,523.2,Personal Auto,SUV,California,M
ZA34848,,,Bachelor,5205.748188,31275,66,0,316.8,Personal Auto,Two-Door Car,Arizona,F
FA57012,,,College,6141.961623,0,182,0,1310.4,Special Auto,Luxury Car,California,M
GU82757,,,Bachelor,4376.363592,63774,111,0,60.036683,Corporate Auto,Four-Door Car,California,F
KW12214,,,High School or Below,12375.02163,78441,103,0,613.866905,Personal Auto,SUV,Oregon,M
EG97649,,,College,3451.10244,0,104,2,499.2,Personal Auto,SUV,Oregon,F
YB42706,,,College,8107.26533,0,76,0,364.8,Corporate Auto,Two-Door Car,Nevada,M
WV74449,,,College,8662.048958,0,117,0,511.422666,Personal Auto,SUV,Washington,F
AZ77669,,,High School or Below,8696.907111,91423,109,1,435.796252,Personal Auto,SUV,Oregon,M
FM25704,,,Bachelor,2535.266473,86933,63,0,269.563038,Corporate Auto,Two-Door Car,Oregon,M
UR34922,,,Doctor,5633.741543,65255,72,2,321.457124,Personal Auto,Four-Door Car,California,M
RA17555,,,High School or Below,5176.730072,41533,65,0,232.879766,Corporate Auto,Four-Door Car,Oregon,M
AW71157,,,College,5531.723723,50097,71,0,17.484679,Personal Auto,Four-Door Car,California,M
IN91592,,,Bachelor,2810.671023,73858,72,3,422.59237,Personal Auto,Four-Door Car,California,F
WX37953,,,College,2780.729047,94943,69,0,387.545055,Personal Auto,Four-Door Car,Oregon,F
NL85206,,,College,2572.452634,72685,68,5,14.464783,Personal Auto,Four-Door Car,California,F
PR23514,,,College,7664.219255,60184,199,1,161.61574,Personal Auto,Luxury SUV,California,M
XZ23352,,,High School or Below,3839.746159,0,106,0,763.2,Corporate Auto,SUV,California,F
MX80067,,,High School or Below,2509.268453,74045,64,0,307.2,Personal Auto,Four-Door Car,California,M
HR10835,,,High School or Below,14566.09246,52564,122,0,42.131925,Personal Auto,SUV,Nevada,M
FR15942,,,Bachelor,3220.775528,19098,87,0,417.6,Personal Auto,Two-Door Car,Washington,M
GX22886,,,College,3199.824902,78784,80,0,239.964694,Personal Auto,Four-Door Car,Arizona,M
HQ70429,,,College,16045.10952,0,65,0,163.046956,Personal Auto,Two-Door Car,Washington,F
YT84266,,,College,4918.916267,29256,63,0,302.4,Personal Auto,Four-Door Car,Oregon,M
GH48715,,,High School or Below,5623.757656,77912,71,1,23.89816,Corporate Auto,Four-Door Car,Arizona,F
BN46866,,,College,5677.465907,45345,72,0,99.039453,Personal Auto,Four-Door Car,Oregon,M
CG94611,,,College,3016.444225,25630,86,0,412.8,Corporate Auto,Two-Door Car,Oregon,M
GK94889,,,College,5279.124682,22280,68,0,169.414572,Personal Auto,Four-Door Car,California,M
QN62538,,,High School or Below,4803.935174,0,69,0,496.8,Corporate Auto,Four-Door Car,Nevada,M
UQ13133,,,Master,2608.786334,61567,65,0,39.532978,Personal Auto,Four-Door Car,Nevada,M
DI65961,,,High School or Below,7832.569008,34644,66,0,316.8,Personal Auto,Four-Door Car,Arizona,M
WQ85760,,,College,4260.33573,26991,119,0,856.8,Corporate Auto,SUV,California,M
No35621,,,Bachelor,2369.369299,49746,61,0,624.42874,Personal Auto,Two-Door Car,Arizona,M
IA11644,,,High School or Below,20604.01627,0,72,1,723.010515,Special Auto,Two-Door Car,California,M
TV53243,,,College,2652.067994,49625,66,0,261.549577,Corporate Auto,Two-Door Car,Arizona,F
WV53081,,,College,2597.864075,49308,65,0,150.235884,Corporate Auto,Four-Door Car,Arizona,F
LL57541,,,Master,7712.436971,63624,95,0,175.243467,Personal Auto,Four-Door Car,California,F
RP27249,,,Master,4698.88415,80358,116,0,443.637243,Personal Auto,SUV,Oregon,F
OT85112,,,College,3403.919366,38460,88,1,91.55098,Personal Auto,Four-Door Car,Washington,M
GV47847,,,High School or Below,4355.702301,0,64,0,460.8,Personal Auto,Two-Door Car,California,M
BB48165,,,Bachelor,11095.97445,0,101,0,727.2,Personal Auto,SUV,California,F
HH80006,,,High School or Below,3300.684961,0,92,0,711.323244,Personal Auto,Four-Door Car,Oregon,F
TH70115,,,College,6981.081694,34835,89,2,294.691896,Personal Auto,Two-Door Car,California,M
WE64781,,,Bachelor,16922.12519,93836,139,0,497.353106,Corporate Auto,Sports Car,Oregon,F
KN27565,,,Master,7639.670244,34075,196,0,451.896687,Special Auto,Luxury SUV,Oregon,M
LE85123,,,Bachelor,19237.77089,35624,66,2,227.44626,Personal Auto,Four-Door Car,Oregon,M
QF76244,,,Doctor,2915.649943,83218,72,0,245.103885,Personal Auto,Four-Door Car,Oregon,F
PU73561,,,Bachelor,4196.429642,24641,105,0,504.0,Personal Auto,SUV,Arizona,F
HM38744,,,Bachelor,16473.16905,22828,106,0,508.8,Corporate Auto,SUV,Oregon,M
ST59524,,,College,2657.570431,0,71,0,340.8,Personal Auto,Four-Door Car,Oregon,M
EZ77297,,,Master,3267.709691,28729,90,3,338.744392,Personal Auto,Four-Door Car,California,M
DR84843,,,Bachelor,2584.532849,72731,65,0,125.704164,Personal Auto,Four-Door Car,Arizona,M
MV54498,,,College,5503.919257,59932,71,1,116.600107,Personal Auto,Four-Door Car,California,F
EM85557,,,College,8021.067105,54292,67,0,321.6,Personal Auto,Four-Door Car,Washington,F
FY73682,,,Bachelor,19606.35999,0,194,0,931.2,Personal Auto,Luxury SUV,California,M
XT54610,,,Bachelor,1904.000852,0,63,3,302.4,Personal Auto,Four-Door Car,California,F
CE16324,,,College,7288.297591,59414,91,0,340.32278,Personal Auto,Two-Door Car,Nevada,F
KX75698,,,High School or Below,5553.521059,96587,138,0,749.244062,Personal Auto,SUV,Oregon,M
UV82770,,,Bachelor,11702.34819,0,111,0,532.8,Personal Auto,SUV,California,M
MX95450,,,College,36897.79765,0,133,0,638.4,Personal Auto,SUV,Oregon,F
XF96605,,,College,2957.102851,94362,74,0,195.405949,Personal Auto,Two-Door Car,California,M
WQ75856,,,Bachelor,19643.54421,84488,61,0,208.885686,Personal Auto,Four-Door Car,Oregon,F
JG35886,,,College,4111.888285,65085,103,0,480.073548,Personal Auto,Four-Door Car,California,F
XY66810,,,Bachelor,15122.99194,0,72,0,518.4,Personal Auto,Two-Door Car,California,F
ON50913,,,College,12807.09083,0,69,0,450.760925,Special Auto,Four-Door Car,California,F
LS59408,,,High School or Below,2500.241685,0,67,0,664.128009,Personal Auto,Four-Door Car,Arizona,M
XQ14689,,,College,4260.709139,0,62,0,446.4,Personal Auto,Four-Door Car,Nevada,M
QF55724,,,Bachelor,2609.533154,60798,66,0,316.8,Personal Auto,Four-Door Car,California,M
FD79560,,,High School or Below,10796.44832,30761,69,2,331.2,Special Auto,Two-Door Car,Arizona,F
KM18818,,,College,2590.654042,25981,65,0,77.54669,Personal Auto,Two-Door Car,Arizona,F
XA28126,,,Bachelor,29199.81072,67739,149,0,270.373444,Personal Auto,SUV,California,M
LJ93770,,,Doctor,4194.659772,25581,105,0,429.695284,Personal Auto,SUV,Arizona,F
MK52711,,,High School or Below,10314.52484,99759,65,3,74.463101,Personal Auto,Two-Door Car,California,F
AZ68184,,,High School or Below,9028.307862,76514,112,0,573.941286,Personal Auto,SUV,Washington,M
NN52789,,,Bachelor,3954.344534,18375,103,0,535.080276,Personal Auto,Sports Car,Arizona,M
XC68458,,,Bachelor,6089.517361,21832,84,0,403.2,Personal Auto,Four-Door Car,California,M
AF49027,,,College,12827.42831,0,117,0,842.4,Personal Auto,Two-Door Car,Arizona,F
PR22184,,,College,9135.291575,95330,113,0,542.4,Corporate Auto,Sports Car,California,F
GM98732,,,College,7902.681227,0,106,0,634.396608,Personal Auto,SUV,California,F
